"artistName","msPlayed","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"other",2660352,"Pop",0.426,0.177,7,-13.334,1,0.0346,0.797,0.00615,0.113,0.247,118.155,238280,4
"other",45217,"Hip Hop",0.813,0.734,10,-5.464,0,0.0577,0.072,0,0.118,0.652,107.967,218146,4
"other",3066930,"Other",0.846,0.628,1,-5.319,1,0.0567,0.149,0,0.0746,0.84,111.072,181279,4
"conro",6708279,"Canadian Electronic",0.761,0.644,7,-6.765,1,0.0409,0.0532,0.00146,0.0838,0.444,111.993,199286,4
"valorant",160660,"Video Game Music",0.732,0.777,0,-5.253,1,0.111,0.00202,0.667,0.268,0.536,160.061,160500,4
"other",2137606,"Other",0.247,0.442,6,-8.703,1,0.041,0.716,0,0.0655,0.261,62.952,212861,4
"skrillex",680412,"Brostep",0.774,0.909,9,-2.89,0,0.0365,0.0173,0.121,0.0739,0.696,126.977,340341,4
"other",330088,"Edm",0.645,0.984,4,-7.051,1,0.0508,0.164,0.00701,0.164,0.553,144.954,176453,4
"other",99200,"Rap",0.636,0.808,0,-3.288,1,0.0534,0.0699,0,0.153,0.508,75.013,99200,4
"other",2293791,"Edm",0.578,0.639,4,-5.749,1,0.0374,0.0586,0,0.0944,0.296,108.045,277413,4
"other",3111686,"Asian Pop",0.403,0.724,8,-6.064,1,0.246,0.377,0,0.0927,0.428,97.133,216786,4
"other",3918739,"Other",0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,305747,3
"other",666014,"Brostep",0.288,0.754,6,-3.376,0,0.0476,0.0938,0,0.238,0.311,174.095,234518,4
"other",202372,"Dutch House",0.571,0.763,9,-6.66,1,0.05,0.0421,0,0.394,0.21,99.955,161400,4
"skrillex",45034,"Brostep",0.581,0.925,11,-3.213,1,0.151,0.00112,0,0.406,0.269,139.982,249120,4
"other",286333,"Alternative",0.481,0.49,6,-10.098,1,0.0271,0.0536,0.123,0.0915,0.0378,152.04,287000,4
"other",2190329,"Alternative",0.665,0.488,4,-7.177,1,0.0981,0.272,0.000261,0.181,0.477,142.087,193600,4
"odesza",192266,"Edm",0.303,0.68,9,-5.318,1,0.0731,0.547,0.929,0.872,0.0397,118.581,192267,3
"other",287270,"Other",0.591,0.864,4,-2.04,1,0.155,0.0386,0,0.139,0.302,128.073,206250,4
"other",12644,"Boy Band",0.607,0.678,8,-7.045,0,0.0335,0.00527,0,0.332,0.433,115.968,244798,4
"jonas blue",206666,"Pop",0.572,0.811,6,-4.874,0,0.066,0.00887,5.65e-06,0.124,0.332,125.946,206667,4
"other",214341,"Edm",0.603,0.834,5,-5.766,0,0.0417,0.0411,0.00609,0.105,0.376,89.957,214440,4
"other",2053548,"Dutch House",0.699,0.709,6,-6.316,0,0.0889,0.0976,0.000124,0.0852,0.426,149.975,177718,4
"other",0,"Pop",0.303,0.393,0,-8.926,1,0.0458,0.777,0.000102,0.106,0.396,180.23,200972,4
"other",4315705,"Indie Pop Rap",0.617,0.567,0,-4.188,1,0.0828,0.0584,0,0.0933,0.505,90.246,217603,4
"julia michaels",897032,"Pop",0.603,0.618,1,-5.184,1,0.0319,0.0232,0,0.118,0.323,112.114,209276,3
"other",4851911,"Indie Pop Rap",0.74,0.7,4,-7.066,0,0.165,0.126,0,0.208,0.377,89.971,224049,4
"other",125409,"Shanty",0.765,0.524,11,-5.821,0,0.101,0.755,0,0.239,0.551,114.697,126453,4
